group morph value
connectivity1 g1 0.31
connectivity2 g1 0.54
connectivity3 g1 0.15
connectivity4 g1 0
coverage g1 0.52
effective_joints g1 1
horizontal_symmetry g1 1
joints_per_limb g1 1.5
length_ratio g1 1
total_active_joints_horizontal g1 0.31
total_active_joints_vertical g1 0.15
total_bricks g1 0.46
total_fixed_joints_horizontal g1 0
total_fixed_joints_vertical g1 0
total_passive_joints_horizontal g1 0
total_passive_joints_vertical g1 0
vertical_symmetry g1 0
viable_joints g1 1
connectivity1 g2 0.17
connectivity2 g2 0.74
connectivity3 g2 0.09
connectivity4 g2 0
coverage g2 0.37
effective_joints g2 1
horizontal_symmetry g2 1
joints_per_limb g2 2.75
length_ratio g2 0.78
total_active_joints_horizontal g2 0.26
total_active_joints_vertical g2 0.22
total_bricks g2 0.48
total_fixed_joints_horizontal g2 0
total_fixed_joints_vertical g2 0
total_passive_joints_horizontal g2 0
total_passive_joints_vertical g2 0
vertical_symmetry g2 0
viable_joints g2 1
connectivity1 g3 0.12
connectivity2 g3 0.82
connectivity3 g3 0.06
connectivity4 g3 0
coverage g3 0.28
effective_joints g3 1
horizontal_symmetry g3 1
joints_per_limb g3 4
length_ratio g3 0.69
total_active_joints_horizontal g3 0.18
total_active_joints_vertical g3 0.3
total_bricks g3 0.48
total_fixed_joints_horizontal g3 0
total_fixed_joints_vertical g3 0
total_passive_joints_horizontal g3 0
total_passive_joints_vertical g3 0
vertical_symmetry g3 0
viable_joints g3 1
connectivity1 s1 0.22
connectivity2 s1 0.78
connectivity3 s1 0
connectivity4 s1 0
coverage s1 1
effective_joints s1 1
horizontal_symmetry s1 1
joints_per_limb s1 2
length_ratio s1 0.11
total_active_joints_horizontal s1 0.22
total_active_joints_vertical s1 0.22
total_bricks s1 0.44
total_fixed_joints_horizontal s1 0
total_fixed_joints_vertical s1 0
total_passive_joints_horizontal s1 0
total_passive_joints_vertical s1 0
vertical_symmetry s1 1
viable_joints s1 1
connectivity1 s2 0.15
connectivity2 s2 0.85
connectivity3 s2 0
connectivity4 s2 0
coverage s2 1
effective_joints s2 1
horizontal_symmetry s2 1
joints_per_limb s2 3
length_ratio s2 0.08
total_active_joints_horizontal s2 0.31
total_active_joints_vertical s2 0.15
total_bricks s2 0.46
total_fixed_joints_horizontal s2 0
total_fixed_joints_vertical s2 0
total_passive_joints_horizontal s2 0
total_passive_joints_vertical s2 0
vertical_symmetry s2 1
viable_joints s2 1
connectivity1 s3 0.12
connectivity2 s3 0.88
connectivity3 s3 0
connectivity4 s3 0
coverage s3 1
effective_joints s3 1
horizontal_symmetry s3 1
joints_per_limb s3 4
length_ratio s3 0.06
total_active_joints_horizontal s3 0.24
total_active_joints_vertical s3 0.24
total_bricks s3 0.47
total_fixed_joints_horizontal s3 0
total_fixed_joints_vertical s3 0
total_passive_joints_horizontal s3 0
total_passive_joints_vertical s3 0
vertical_symmetry s3 1
viable_joints s3 1
connectivity1 sp1 0.24
connectivity2 sp1 0.71
connectivity3 sp1 0
connectivity4 sp1 0.06
coverage sp1 0.21
effective_joints sp1 1
horizontal_symmetry sp1 1
joints_per_limb sp1 2
length_ratio sp1 1
total_active_joints_horizontal sp1 0.24
total_active_joints_vertical sp1 0.24
total_bricks sp1 0.47
total_fixed_joints_horizontal sp1 0
total_fixed_joints_vertical sp1 0
total_passive_joints_horizontal sp1 0
total_passive_joints_vertical sp1 0
vertical_symmetry sp1 1
viable_joints sp1 1
connectivity1 sp2 0.16
connectivity2 sp2 0.8
connectivity3 sp2 0
connectivity4 sp2 0.04
coverage sp2 0.15
effective_joints sp2 1
horizontal_symmetry sp2 1
joints_per_limb sp2 3
length_ratio sp2 1
total_active_joints_horizontal sp2 0.32
total_active_joints_vertical sp2 0.16
total_bricks sp2 0.48
total_fixed_joints_horizontal sp2 0
total_fixed_joints_vertical sp2 0
total_passive_joints_horizontal sp2 0
total_passive_joints_vertical sp2 0
vertical_symmetry sp2 1
viable_joints sp2 1
connectivity1 sp3 0.12
connectivity2 sp3 0.85
connectivity3 sp3 0
connectivity4 sp3 0.03
coverage sp3 0.11
effective_joints sp3 1
horizontal_symmetry sp3 1
joints_per_limb sp3 4
length_ratio sp3 1
total_active_joints_horizontal sp3 0.24
total_active_joints_vertical sp3 0.24
total_bricks sp3 0.48
total_fixed_joints_horizontal sp3 0
total_fixed_joints_vertical sp3 0
total_passive_joints_horizontal sp3 0
total_passive_joints_vertical sp3 0
vertical_symmetry sp3 1
viable_joints sp3 1
connectivity1 f5 0.43
connectivity2 f5 0.43
connectivity3 f5 0.14
connectivity4 f5 0
coverage f5 0.44
effective_joints f5 0
horizontal_symmetry f5 0
joints_per_limb f5 0
length_ratio f5 1
total_active_joints_horizontal f5 0.14
total_active_joints_vertical f5 0.29
total_bricks f5 0
total_fixed_joints_horizontal f5 0
total_fixed_joints_vertical f5 0.14
total_passive_joints_horizontal f5 0.14
total_passive_joints_vertical f5 0.14
vertical_symmetry f5 0
viable_joints f5 0
connectivity1 f23 0.67
connectivity2 f23 0.33
connectivity3 f23 0
connectivity4 f23 0
coverage f23 0.75
effective_joints f23 0
horizontal_symmetry f23 0
joints_per_limb f23 0
length_ratio f23 1
total_active_joints_horizontal f23 0
total_active_joints_vertical f23 0
total_bricks f23 0
total_fixed_joints_horizontal f23 0
total_fixed_joints_vertical f23 0.33
total_passive_joints_horizontal f23 0
total_passive_joints_vertical f23 0.33
vertical_symmetry f23 0
viable_joints f23 0
connectivity1 f44 0.67
connectivity2 f44 0.17
connectivity3 f44 0
connectivity4 f44 0.17
coverage f44 0.5
effective_joints f44 0
horizontal_symmetry f44 0
joints_per_limb f44 0
length_ratio f44 0.75
total_active_joints_horizontal f44 0.33
total_active_joints_vertical f44 0
total_bricks f44 0.17
total_fixed_joints_horizontal f44 0
total_fixed_joints_vertical f44 0.17
total_passive_joints_horizontal f44 0.17
total_passive_joints_vertical f44 0
vertical_symmetry f44 0
viable_joints f44 0
connectivity1 f45 0.15
connectivity2 f45 0.85
connectivity3 f45 0
connectivity4 f45 0
coverage f45 0.52
effective_joints f45 0
horizontal_symmetry f45 0
joints_per_limb f45 0
length_ratio f45 1
total_active_joints_horizontal f45 0.31
total_active_joints_vertical f45 0.08
total_bricks f45 0.15
total_fixed_joints_horizontal f45 0.08
total_fixed_joints_vertical f45 0.23
total_passive_joints_horizontal f45 0.08
total_passive_joints_vertical f45 0
vertical_symmetry f45 0
viable_joints f45 0
connectivity1 f77 0.44
connectivity2 f77 0.44
connectivity3 f77 0
connectivity4 f77 0.11
coverage f77 0.43
effective_joints f77 0
horizontal_symmetry f77 0
joints_per_limb f77 0
length_ratio f77 0.43
total_active_joints_horizontal f77 0.22
total_active_joints_vertical f77 0.22
total_bricks f77 0.11
total_fixed_joints_horizontal f77 0
total_fixed_joints_vertical f77 0.22
total_passive_joints_horizontal f77 0
total_passive_joints_vertical f77 0.11
vertical_symmetry f77 0
viable_joints f77 0
connectivity1 f92 0.8
connectivity2 f92 0
connectivity3 f92 0
connectivity4 f92 0.2
coverage f92 0.56
effective_joints f92 0
horizontal_symmetry f92 1
joints_per_limb f92 0
length_ratio f92 1
total_active_joints_horizontal f92 0
total_active_joints_vertical f92 0
total_bricks f92 0
total_fixed_joints_horizontal f92 0
total_fixed_joints_vertical f92 0
total_passive_joints_horizontal f92 0.8
total_passive_joints_vertical f92 0
vertical_symmetry f92 1
viable_joints f92 0
connectivity1 f116 0.45
connectivity2 f116 0.36
connectivity3 f116 0.09
connectivity4 f116 0.09
coverage f116 0.55
effective_joints f116 0
horizontal_symmetry f116 0
joints_per_limb f116 0
length_ratio f116 0.8
total_active_joints_horizontal f116 0.18
total_active_joints_vertical f116 0.18
total_bricks f116 0.18
total_fixed_joints_horizontal f116 0.18
total_fixed_joints_vertical f116 0.09
total_passive_joints_horizontal f116 0
total_passive_joints_vertical f116 0.09
vertical_symmetry f116 0
viable_joints f116 0
connectivity1 f211 0.31
connectivity2 f211 0.62
connectivity3 f211 0
connectivity4 f211 0.08
coverage f211 0.29
effective_joints f211 0.1
horizontal_symmetry f211 0
joints_per_limb f211 0.25
length_ratio f211 0.56
total_active_joints_horizontal f211 0.23
total_active_joints_vertical f211 0
total_bricks f211 0.15
total_fixed_joints_horizontal f211 0.15
total_fixed_joints_vertical f211 0
total_passive_joints_horizontal f211 0.15
total_passive_joints_vertical f211 0.23
vertical_symmetry f211 0
viable_joints f211 0
connectivity1 f319 0.23
connectivity2 f319 0.64
connectivity3 f319 0.14
connectivity4 f319 0
coverage f319 0.52
effective_joints f319 0.06
horizontal_symmetry f319 0
joints_per_limb f319 0.2
length_ratio f319 0.86
total_active_joints_horizontal f319 0.14
total_active_joints_vertical f319 0.05
total_bricks f319 0.18
total_fixed_joints_horizontal f319 0.18
total_fixed_joints_vertical f319 0.14
total_passive_joints_horizontal f319 0.14
total_passive_joints_vertical f319 0.14
vertical_symmetry f319 0
viable_joints f319 1
connectivity1 f404 0.44
connectivity2 f404 0.44
connectivity3 f404 0
connectivity4 f404 0.11
coverage f404 0.36
effective_joints f404 0
horizontal_symmetry f404 0
joints_per_limb f404 0
length_ratio f404 1
total_active_joints_horizontal f404 0.33
total_active_joints_vertical f404 0
total_bricks f404 0
total_fixed_joints_horizontal f404 0.11
total_fixed_joints_vertical f404 0.33
total_passive_joints_horizontal f404 0.11
total_passive_joints_vertical f404 0
vertical_symmetry f404 0
viable_joints f404 0
connectivity1 f483 0.57
connectivity2 f483 0.29
connectivity3 f483 0
connectivity4 f483 0.14
coverage f483 0.44
effective_joints f483 0
horizontal_symmetry f483 0
joints_per_limb f483 0
length_ratio f483 1
total_active_joints_horizontal f483 0.14
total_active_joints_vertical f483 0
total_bricks f483 0
total_fixed_joints_horizontal f483 0.14
total_fixed_joints_vertical f483 0.29
total_passive_joints_horizontal f483 0
total_passive_joints_vertical f483 0.29
vertical_symmetry f483 0
viable_joints f483 0
connectivity1 f668 0.13
connectivity2 f668 0.88
connectivity3 f668 0
connectivity4 f668 0
coverage f668 0.22
effective_joints f668 0
horizontal_symmetry f668 0
joints_per_limb f668 0
length_ratio f668 0.89
total_active_joints_horizontal f668 0
total_active_joints_vertical f668 0.5
total_bricks f668 0.06
